Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,DRYAD_Dryad,56,56,1.00,100.00%
Abstract,DRYAD_Dryad,56,56,1.00,100.00%
Acknowledgement,DRYAD_Dryad,30,30,0.54,53.57%
Author,DRYAD_Dryad,155,55,2.77,98.21%
Author / Originator,DRYAD_Dryad,155,55,2.77,98.21%
Bounding Box,DRYAD_Dryad,40,40,0.71,71.43%
Contributor Name,DRYAD_Dryad,30,30,0.54,53.57%
Distribution Contact,DRYAD_Dryad,56,56,1.00,100.00%
Easternmost Longitude,DRYAD_Dryad,40,40,0.71,71.43%
Keyword,DRYAD_Dryad,433,48,7.73,85.71%
Keyword Type,DRYAD_Dryad,127,45,2.27,80.36%
Keyword Vocabulary,DRYAD_Dryad,127,45,2.27,80.36%
Lineage Statement,DRYAD_Dryad,56,56,1.00,100.00%
Maintenance,DRYAD_Dryad,56,56,1.00,100.00%
Metadata Contact,DRYAD_Dryad,56,56,1.00,100.00%
Metadata Language,DRYAD_Dryad,56,56,1.00,100.00%
Metadata Modified Date,DRYAD_Dryad,56,56,1.00,100.00%
Metadata Standard Citation,DRYAD_Dryad,56,56,1.00,100.00%
Metadata Standard Version,DRYAD_Dryad,56,56,1.00,100.00%
Northernmost Latitude,DRYAD_Dryad,40,40,0.71,71.43%
Organization Name,DRYAD_Dryad,155,55,2.77,98.21%
Originating Organization,DRYAD_Dryad,155,55,2.77,98.21%
Phone,DRYAD_Dryad,85,56,1.52,100.00%
Place Keyword,DRYAD_Dryad,289,48,5.16,85.71%
Presentation Form,DRYAD_Dryad,44,44,0.79,78.57%
Process Step Description,DRYAD_Dryad,29,15,0.52,26.79%
Process Step Time,DRYAD_Dryad,14,9,0.25,16.07%
Project Website Link,DRYAD_Dryad,166,55,2.96,98.21%
Publication Date,DRYAD_Dryad,10,10,0.18,17.86%
Publisher,DRYAD_Dryad,10,10,0.18,17.86%
Publisher Location,DRYAD_Dryad,9,9,0.16,16.07%
Purpose,DRYAD_Dryad,44,44,0.79,78.57%
Quality Statement,DRYAD_Dryad,56,56,1.00,100.00%
Resource Access Constraints,DRYAD_Dryad,56,56,1.00,100.00%
Resource Citation,DRYAD_Dryad,56,56,1.00,100.00%
Resource Contact,DRYAD_Dryad,56,56,1.00,100.00%
Resource Creation/Revision Date,DRYAD_Dryad,10,10,0.18,17.86%
Resource Distribution,DRYAD_Dryad,56,56,1.00,100.00%
Resource Lineage,DRYAD_Dryad,56,56,1.00,100.00%
Resource Quality Description,DRYAD_Dryad,56,56,1.00,100.00%
Resource Status,DRYAD_Dryad,56,56,1.00,100.00%
Resource Title,DRYAD_Dryad,56,56,1.00,100.00%
Resource Update Frequency,DRYAD_Dryad,56,56,1.00,100.00%
Resource Use Constraints,DRYAD_Dryad,23,23,0.41,41.07%
Resource on-line Link,DRYAD_Dryad,166,55,2.96,98.21%
Rights,DRYAD_Dryad,79,56,1.41,100.00%
Site,DRYAD_Dryad,41,41,0.73,73.21%
Source Citation,DRYAD_Dryad,1,1,0.02,1.79%
Southernmost Latitude,DRYAD_Dryad,40,40,0.71,71.43%
Spatial Extent,DRYAD_Dryad,40,40,0.71,71.43%
Temporal Extent,DRYAD_Dryad,46,46,0.82,82.14%
Theme Keyword,DRYAD_Dryad,144,24,2.57,42.86%
URL,DRYAD_Dryad,166,55,2.96,98.21%
Unknown,DRYAD_Dryad,2200,56,39.29,100.00%
Westernmost Longitude,DRYAD_Dryad,40,40,0.71,71.43%
